2026-05-15T14:00:00Z,-15.789500,-47.886000,0.45,-1.20
2026-05-15T14:00:01Z,-15.790000,-47.884950,1.20,-0.80
2026-05-15T14:00:02Z,-15.790500,-47.883900,2.15,0.00
2026-05-15T14:00:03Z,-15.791000,-47.882850,3.10,1.50
2026-05-15T14:00:04Z,-15.791500,-47.881800,1.80,2.10
2026-05-15T14:00:05Z,-15.792000,-47.880750,-0.50,1.80
2026-05-15T14:00:06Z,-15.792500,-47.879700,-1.20,0.50
2026-05-15T14:00:07Z,-15.793000,-47.878650,-2.30,-0.40
2026-05-15T14:00:08Z,-15.793500,-47.877600,-1.10,-1.50
2026-05-15T14:00:09Z,-15.794000,-47.876550,0.00,-0.80
2026-05-15T14:00:10Z,-15.794500,-47.875500,1.50,0.20
2026-05-15T14:00:11Z,-15.795000,-47.874450,2.80,1.10
2026-05-15T14:00:12Z,-15.795500,-47.873400,2.10,2.50
2026-05-15T14:00:13Z,-15.796000,-47.872350,0.40,1.90
2026-05-15T14:00:14Z,-15.796500,-47.871300,-1.50,0.30
2026-05-15T14:00:15Z,-15.797000,-47.870250,-2.80,-0.70
2026-05-15T14:00:16Z,-15.797500,-47.869200,-1.40,-1.80
2026-05-15T14:00:17Z,-15.798000,-47.868150,0.10,-2.10
2026-05-15T14:00:18Z,-15.798500,-47.867100,1.20,-1.00
2026-05-15T14:00:19Z,-15.799000,-47.866050,2.30,0.40
2026-05-15T14:00:20Z,-15.799500,-47.865000,1.10,1.20
